"inn"@;@"name"@;@"region_soato"@;@"district_soato"
"300406940"@;@"""NAMUNA TEZKOR QURILISH"" XK"@;@"1722"@;@"1722220"
"203977589"@;@"""ZENATKOR TEMIR BETON BUYUMLARI"" MCHJ"@;@"1708"@;@"1708401"
"308925574"@;@"ООО ""Patoka Zo'r Un Trade"""@;@"1727"@;@
"310146248"@;@"""SANO PRIMUS"" MCHJ"@;@"1726"@;@"1726287"
"305634837"@;@"""HUALI CENTRAL ASIA LIMITED"" MCHJ"@;@"1727"@;@"1727419"
"204116241"@;@"Ф/Х ""ТОЖИ-ШАМСИ"""@;@"1706"@;@
"300674428"@;@"""OLTIARIQ MAXSUS QURILISH FAYZ"" MCHJ"@;@"1730"@;@"1730203"
"306693258"@;@"""TETRATEX"" MCHJ"@;@"1703"@;@"1703206"
"303133734"@;@"""BARXATNAYA BUMAGA"" MCHJ"@;@"1718"@;@"1718401"
"309678390"@;@"""QO‘SHMINOR ECO GAZ"" MCHJ"@;@"1714"@;@"1714219"
"300323064"@;@"""ALAN-TAILOR"" MCHJ"@;@"1726"@;@"1726287"
"302528978"@;@"""C AND H INDUSTRY"" MCHJ XK"@;@"1726"@;@"1726283"
"303466224"@;@"""JIAN JUN"" MCHJ"@;@"1722"@;@"1722214"
"303147984"@;@"""GULOBOD TEKS"" MCHJ"@;@"1714"@;@"1714207"
"303293924"@;@"""ZEBRA COLOUR"" OK"@;@"1730"@;@"1730405"
"204192355"@;@"""KINDER QO'QON"" XK"@;@"1730"@;@"1730405"
"306014301"@;@"ООО ""TRANSPARENT QUALITY TRADE"""@;@"1726"@;@
"206755332"@;@"""ELEQ-SERVIS"" MCHJ"@;@"1726"@;@"1726283"
"309809314"@;@"OOO "" INTEGRITY EXPRESS LOGISTICS"""@;@"1706"@;@
"305152772"@;@"""AMIRSOY"" MCHJ QK"@;@"1727"@;@"1727224"
"308260977"@;@"ООО ""DAYAN SHAM"""@;@"1726"@;@
"308389712"@;@"""SHO'ROQYER MUBINAXON"" OK"@;@"1730"@;@"1730209"
"304461358"@;@"""UNIVERSAL METAL QAYTA ISHLASH"" MCHJ"@;@"1726"@;@"1726290"
"200000065"@;@"""KIMYO-SERVIS-NAVOIY"" MCHJ"@;@"1712"@;@"1712401"
"310210524"@;@"""ZANDANE ELECTRIC VEHICLES"" MCHJ"@;@"1706"@;@"1706240"
"300678327"@;@"""GULISTON NAVOIYQURILISHSERVIS"" MCHJ"@;@"1735"@;@"1735233"
