"tnved_code"@;@"imp_usd"@;@"exp_usd"@;@"manufacture_usd"@;@"power_usd"@;@"sold_usd"@;@"left_usd"@;@"market_by_tnved"@;@"fm"@;@"pl_2"@;@"coef_gotovnosti"@;@"pl_3"@;@"ilp"
"6203491900"@;@197 947@;@184 816@;@1 075 942@;@1 093 948@;@997 545@;@373 645@;@900 244@;@18 006@;@18 006@;@1@;@18 006@;@0,34
"2208307900"@;@17 282@;@@;@@;@@;@@;@@;@17 282@;@@;@@;@0@;@@;@0,5
"2208202600"@;@3 607@;@@;@@;@@;@@;@@;@3 607@;@@;@@;@0@;@@;@0,5
"8419500009"@;@@;@@;@@;@@;@@;@@;@0@;@@;@@;@0,4@;@@;@
"7209279009"@;@12 643 047@;@106 687@;@@;@@;@@;@@;@12 643 047@;@@;@@;@0,3@;@@;@0,56
"7314120000"@;@135 879@;@@;@1 334 678@;@1 334 678@;@988 741@;@380 324@;@1 090 233@;@0@;@0@;@0,3@;@0@;@0,12
"8508190001"@;@12 519 304@;@3 473 336@;@4 818 974@;@6 989 163@;@4 037 986@;@942 303@;@12 922 639@;@2 170 189@;@2 170 189@;@1@;@2 170 189@;@0,74
"7312104100"@;@674 867@;@@;@1 155 042@;@1 155 042@;@1 155 042@;@@;@1 829 909@;@0@;@0@;@0,3@;@0@;@0,24
"3204180000"@;@6 675@;@4 339@;@@;@@;@@;@@;@6 675@;@@;@@;@0,3@;@@;@0,56
"8430200000"@;@67 455@;@@;@@;@@;@@;@@;@67 455@;@@;@@;@0@;@@;@0,5
"9401510000"@;@@;@@;@89 132@;@123 209@;@82 915@;@6 217@;@82 915@;@34 077@;@@;@0,3@;@@;@
"8906901000"@;@183 084@;@@;@@;@@;@@;@@;@183 084@;@@;@@;@0@;@@;@0,5
"7214991000"@;@156 215@;@541 740@;@126 689@;@254 351@;@6 869 851@;@353 234@;@-70 330@;@127 662@;@127 662@;@1@;@127 662@;@0
"2006009900"@;@322 888@;@89 572@;@50 610@;@63 263@;@40 942@;@11 410@;@272 516@;@12 653@;@12 653@;@0,6@;@7 591,8@;@0,72
"0402101100"@;@230@;@281@;@@;@@;@@;@@;@230@;@@;@@;@0,3@;@@;@0,56
"9508260000"@;@313 423@;@@;@@;@@;@@;@@;@313 423@;@@;@@;@0@;@@;@0,5
"803109000"@;@@;@@;@14 442 846@;@14 445 603@;@12 491 223@;@2 128 013@;@12 491 223@;@2 757@;@@;@0,3@;@@;@
"2836991100"@;@55 841@;@10@;@@;@@;@@;@@;@55 841@;@@;@@;@0,3@;@@;@0,56
"7607199009"@;@17 235 685@;@448@;@@;@@;@@;@@;@17 235 685@;@@;@@;@0,3@;@@;@0,56
"1512211000"@;@@;@@;@39 506 593@;@39 773 495@;@26 790 810@;@12 261 813@;@26 790 810@;@266 902@;@@;@0,3@;@@;@
"3004320009"@;@@;@@;@2 121 003@;@2 302 895@;@1 937 940@;@524 078@;@1 937 940@;@181 892@;@@;@0,3@;@@;@
"2204214400"@;@1 810@;@@;@@;@@;@@;@@;@1 810@;@@;@@;@0@;@@;@0,5
"9506620000"@;@3 552 573@;@3 709@;@12 192 562@;@12 371 663@;@8 233 551@;@5 848 508@;@9 896 627@;@179 101@;@179 101@;@1@;@179 101@;@0,39
"8410110000"@;@2 193 660@;@@;@1 422 251@;@1 777 814@;@1 422 251@;@@;@3 615 911@;@355 563@;@355 563@;@0,3@;@106 668,9@;@0,41
"9030390009"@;@764 765@;@190 286@;@@;@@;@@;@@;@764 765@;@@;@@;@0,3@;@@;@0,56
"4408101502"@;@@;@@;@39 501@;@39 501@;@39 501@;@@;@39 501@;@0@;@@;@0,7@;@@;@
"2903290000"@;@17@;@@;@@;@@;@@;@@;@17@;@@;@@;@0@;@@;@0,5
"2828900000"@;@127 156@;@16 338@;@3 445 846@;@4 597 217@;@3 461 401@;@82 097@;@3 490 905@;@1 151 371@;@127 156@;@1@;@127 156@;@2,93
"8414401000"@;@1 711 059@;@8 994@;@316 488@;@318 097@;@316 488@;@@;@2 018 553@;@1 609@;@1 609@;@0,6@;@965,4@;@0,54
"3920102400"@;@2 019 682@;@1 910 471@;@11 899 411@;@13 073 868@;@12 732 617@;@3 697 636@;@10 221 457@;@1 174 457@;@1 174 457@;@1@;@1 174 457@;@0,47
"8716393001"@;@6 825 350@;@29 392 130@;@31 400 502@;@31 422 806@;@30 552 695@;@591 232@;@37 634 620@;@22 304@;@22 304@;@1@;@22 304@;@0,29
"0304610000"@;@7 593@;@@;@@;@@;@@;@@;@7 593@;@@;@@;@0@;@@;@0,5
"9405102101"@;@@;@@;@45 443@;@45 443@;@39 763@;@5 680@;@39 763@;@0@;@@;@0,3@;@@;@
"0808309000"@;@6 841 237@;@619 317@;@@;@@;@@;@@;@6 841 237@;@@;@@;@0,7@;@@;@0,64
"9405210011"@;@9 901@;@@;@@;@@;@@;@@;@9 901@;@@;@@;@0@;@@;@0,5
"8716398007"@;@28 718 605@;@1 105 905@;@@;@@;@@;@@;@28 718 605@;@@;@@;@0,3@;@@;@0,56
"8528523000"@;@3 841@;@@;@@;@@;@@;@@;@3 841@;@@;@@;@0@;@@;@0,5
"406901700"@;@@;@@;@402 798@;@402 798@;@402 798@;@216@;@402 798@;@0@;@@;@0,3@;@@;@
"5208520000"@;@1 222 890@;@25 295 645@;@6 331 595@;@6 514 160@;@7 344 824@;@432 338@;@7 122 147@;@182 565@;@182 565@;@1@;@182 565@;@0,33
"2941300009"@;@19 236@;@@;@@;@@;@@;@@;@19 236@;@@;@@;@0@;@@;@0,5
"8708923509"@;@1 302 007@;@95 412@;@31 574 534@;@31 574 534@;@31 020 476@;@247 192@;@32 629 349@;@0@;@0@;@0,6@;@0@;@0,14
"6102309000"@;@606 751@;@96 228@;@415 943@;@415 943@;@415 943@;@@;@926 466@;@0@;@0@;@1@;@0@;@0,53
"6208110000"@;@3 868@;@@;@3 555@;@3 555@;@3 555@;@@;@7 423@;@0@;@0@;@0,3@;@0@;@0,32
"7113190000"@;@9 137 355@;@26 164 834@;@81 485 578@;@81 485 578@;@75 509 370@;@3 861 559@;@86 761 374@;@0@;@0@;@0,6@;@0@;@0,17
"5205140002"@;@193 873@;@193 034 984@;@8 107 679@;@8 107 679@;@7 238 663@;@2 443 481@;@5 858 071@;@0@;@0@;@0,6@;@0@;@0,14
"8428320000"@;@2 196 827@;@41 005@;@24 102@;@26 741@;@14 227@;@9 875@;@2 170 049@;@2 639@;@2 639@;@0,6@;@1 583,4@;@0,63
"8516400000"@;@7 197 920@;@12 980@;@@;@@;@@;@@;@7 197 920@;@@;@@;@0,3@;@@;@0,56
"7501100000"@;@@;@@;@21 133 661@;@21 133 661@;@21 133 661@;@@;@21 133 661@;@0@;@@;@0,3@;@@;@
"2711129400"@;@11 197 775@;@@;@@;@@;@@;@@;@11 197 775@;@@;@@;@0@;@@;@0,5
"2106909808"@;@62 660 958@;@2 177 545@;@3 678 120@;@3 815 796@;@3 669 798@;@50 787@;@64 110 746@;@137 676@;@137 676@;@1@;@137 676@;@0,69
"3808913500"@;@512 648@;@@;@@;@@;@@;@@;@512 648@;@@;@@;@0@;@@;@0,5
"5212111000"@;@1 966@;@61 046@;@31 232 789@;@31 577 599@;@16 544 260@;@15 231 306@;@16 003 449@;@344 810@;@1 966@;@0,6@;@1 179,6@;@52,74
"0106410002"@;@@;@1 939 850@;@@;@@;@@;@@;@0@;@@;@@;@0,3@;@@;@
"6401929000"@;@41 507@;@1 457 977@;@13 290 648@;@13 346 599@;@11 485 814@;@3 190 538@;@10 141 617@;@55 951@;@41 507@;@1@;@41 507@;@0,61
"3917239000"@;@1 237 034@;@671 379@;@21 840 099@;@26 572 609@;@8 313 256@;@1 814 088@;@21 263 045@;@4 732 510@;@1 237 034@;@1@;@1 237 034@;@1,38
"8542399010"@;@824 053@;@@;@@;@@;@@;@@;@824 053@;@@;@@;@0@;@@;@0,5
"4903000000"@;@271 087@;@8 622@;@@;@@;@@;@@;@271 087@;@@;@@;@0,7@;@@;@0,64
"8519891100"@;@12 105@;@@;@@;@@;@@;@@;@12 105@;@@;@@;@0@;@@;@0,5
"5205320000"@;@@;@@;@102 789 125@;@103 034 088@;@115 563 754@;@9 142 792@;@115 563 754@;@244 963@;@@;@0,3@;@@;@
"8708942009"@;@34 872 496@;@506 342@;@@;@@;@@;@@;@34 872 496@;@@;@@;@0,7@;@@;@0,64
"8536201003"@;@90 825@;@@;@@;@@;@@;@@;@90 825@;@@;@@;@0@;@@;@0,5
"2903490000"@;@1 875@;@@;@@;@@;@@;@@;@1 875@;@@;@@;@0@;@@;@0,5
"3405100000"@;@734 139@;@1 274@;@151 363@;@169 829@;@151 363@;@154@;@884 074@;@18 466@;@18 466@;@0,6@;@11 079,6@;@0,54
"8433111000"@;@267 496@;@@;@@;@@;@@;@@;@267 496@;@@;@@;@0,4@;@@;@0,58
"3909310000"@;@15 447 327@;@1 226@;@@;@@;@@;@@;@15 447 327@;@@;@@;@0,3@;@@;@0,56
"6802919000"@;@@;@@;@2 283 619@;@2 471 554@;@671 104@;@63 926@;@671 104@;@187 935@;@@;@0,3@;@@;@
"5103209100"@;@@;@@;@75 416@;@75 416@;@80 817@;@5 401@;@80 817@;@0@;@@;@0,3@;@@;@
"7209179001"@;@51 186 002@;@@;@@;@@;@@;@@;@51 186 002@;@@;@@;@0@;@@;@0,5
"5503400000"@;@171 149@;@@;@19 304@;@19 304@;@19 304@;@@;@190 453@;@0@;@0@;@0,3@;@0@;@0,51
"8907900009"@;@629 246@;@439@;@@;@@;@@;@@;@629 246@;@@;@@;@0,3@;@@;@0,56
"7301200000"@;@103 045@;@2 351 546@;@@;@@;@@;@@;@103 045@;@@;@@;@0,3@;@@;@0,56
"8518900003"@;@1 794@;@@;@@;@@;@@;@@;@1 794@;@@;@@;@0@;@@;@0,5
"3916905000"@;@2 696 385@;@108 029@;@26 423@;@26 423@;@26 423@;@83 487@;@2 531 292@;@0@;@0@;@1@;@0@;@0,73
"4418998000"@;@@;@@;@837 733@;@1 200 345@;@817 683@;@26 486@;@817 683@;@362 612@;@@;@0,3@;@@;@
"8501320001"@;@677@;@291@;@7 575@;@7 575@;@7 575@;@@;@8 252@;@0@;@0@;@0,6@;@0@;@0,16
"8405900000"@;@268 876@;@@;@@;@@;@@;@@;@268 876@;@@;@@;@0@;@@;@0,5
"3004900008"@;@19 416 812@;@574 862@;@@;@@;@@;@@;@19 416 812@;@@;@@;@0,7@;@@;@0,64
"8483608000"@;@3 164 970@;@175 112@;@2 189 162@;@2 189 322@;@1 989 349@;@76 147@;@5 102 873@;@160@;@160@;@1@;@160@;@0,51
"8441101009"@;@1 696 510@;@146 518@;@@;@@;@@;@@;@1 696 510@;@@;@@;@0,3@;@@;@0,56
"9027500000"@;@19 477 055@;@283 671@;@@;@@;@@;@@;@19 477 055@;@@;@@;@0,3@;@@;@0,56
"2621900000"@;@85 687@;@19 989@;@7 234@;@7 365@;@7 234@;@@;@72 932@;@131@;@131@;@0,6@;@78,6@;@0,71
"0403203300"@;@259@;@@;@@;@@;@@;@@;@259@;@@;@@;@0@;@@;@0,5
"6114900000"@;@9 770@;@12 354@;@349 347@;@351 541@;@349 347@;@2 194@;@356 923@;@2 194@;@2 194@;@1@;@2 194@;@0,28
"7312109800"@;@2 271 418@;@36 670@;@7 267@;@7 267@;@7 267@;@@;@2 242 015@;@0@;@0@;@0,6@;@0@;@0,63
"2302500000"@;@174 855@;@@;@459 141@;@459 141@;@459 141@;@@;@633 996@;@0@;@0@;@0,3@;@0@;@0,2
"8411826001"@;@6 195 000@;@@;@1 350 924@;@1 350 924@;@1 151 219@;@75 051@;@7 470 873@;@0@;@0@;@0,3@;@0@;@0,47
"8462900011"@;@158 954@;@@;@@;@@;@@;@@;@158 954@;@@;@@;@0@;@@;@0,5
"8414592000"@;@5 885 262@;@195 418@;@2 085 615@;@2 115 638@;@1 882 776@;@166 706@;@7 608 753@;@30 023@;@30 023@;@1@;@30 023@;@0,59
"3102210000"@;@5 086@;@1 136 216@;@33 687 783@;@40 784 511@;@28 303 042@;@13 005 839@;@20 687 030@;@7 096 728@;@5 086@;@1@;@5 086@;@100
"0603900000"@;@3 484@;@9@;@@;@@;@@;@@;@3 484@;@@;@@;@0,7@;@@;@0,64
"1207919000"@;@416 599@;@@;@@;@@;@@;@@;@416 599@;@@;@@;@0@;@@;@0,5
"8703211091"@;@180 416@;@9 953@;@@;@@;@@;@@;@180 416@;@@;@@;@0,7@;@@;@0,64
"3808590009"@;@128 408@;@@;@@;@@;@@;@@;@128 408@;@@;@@;@0@;@@;@0,5
"7227901000"@;@@;@@;@12 410@;@13 789@;@12 410@;@@;@12 410@;@1 379@;@@;@0,3@;@@;@
"2204211900"@;@1 850@;@@;@@;@@;@@;@@;@1 850@;@@;@@;@0@;@@;@0,5
"0601109000"@;@56 437@;@@;@@;@@;@@;@@;@56 437@;@@;@@;@0,4@;@@;@0,58
"3827650000"@;@179 039@;@@;@@;@@;@@;@@;@179 039@;@@;@@;@0@;@@;@0,5
"7010902100"@;@76 393@;@33@;@@;@@;@@;@@;@76 393@;@@;@@;@0,3@;@@;@0,56
"7019720009"@;@30 030@;@@;@3 934@;@5 901@;@3 934@;@@;@33 964@;@1 967@;@1 967@;@0,3@;@590,1@;@0,52
"3507100000"@;@110 343@;@@;@@;@@;@@;@@;@110 343@;@@;@@;@0@;@@;@0,5
"8419390003"@;@64 055@;@@;@@;@@;@@;@@;@64 055@;@@;@@;@0@;@@;@0,5
"5802190000"@;@@;@@;@8 662 703@;@9 097 321@;@4 801 854@;@1 574 212@;@4 801 854@;@434 618@;@@;@0,3@;@@;@
"8408103900"@;@43 765@;@@;@1 350 924@;@1 350 924@;@1 151 219@;@75 051@;@1 319 638@;@0@;@0@;@0,3@;@0@;@0,08
"5512991000"@;@196 586@;@@;@@;@@;@@;@@;@196 586@;@@;@@;@0@;@@;@0,5
"9020000000"@;@1 636 733@;@7 071@;@11 376@;@11 376@;@11 376@;@@;@1 641 038@;@0@;@0@;@0,6@;@0@;@0,62
"8703219010"@;@@;@@;@6 092 377@;@6 092 377@;@6 092 377@;@@;@6 092 377@;@0@;@@;@0,3@;@@;@
"7326199001"@;@1 648@;@@;@790@;@790@;@790@;@@;@2 438@;@0@;@0@;@0,3@;@0@;@0,4
"9508210000"@;@37 203@;@@;@@;@@;@@;@@;@37 203@;@@;@@;@0,4@;@@;@0,58
"2504100000"@;@425 484@;@@;@330 961@;@336 197@;@329 569@;@3 512@;@752 933@;@5 236@;@5 236@;@0,3@;@1 570,8@;@0,35
"2008606001"@;@1 279@;@195 299@;@@;@@;@@;@@;@1 279@;@@;@@;@0,3@;@@;@0,56
"5207100002"@;@@;@460@;@2 834@;@2 834@;@2 834@;@480@;@2 354@;@0@;@@;@0,6@;@@;@
"2929900000"@;@2 016 595@;@@;@@;@@;@@;@@;@2 016 595@;@@;@@;@0@;@@;@0,5
"704901001"@;@@;@@;@23 623@;@23 623@;@23 623@;@@;@23 623@;@0@;@@;@0,3@;@@;@
"5503900000"@;@3 786 039@;@@;@@;@@;@@;@@;@3 786 039@;@@;@@;@0@;@@;@0,5
"8608000001"@;@13 906 821@;@41@;@@;@@;@@;@@;@13 906 821@;@@;@@;@0,7@;@@;@0,64
"0901120001"@;@1 524@;@@;@@;@@;@@;@@;@1 524@;@@;@@;@0@;@@;@0,5
"0811908509"@;@11 097@;@@;@@;@@;@@;@@;@11 097@;@@;@@;@0@;@@;@0,5
"1518001000"@;@@;@@;@213 692@;@218 978@;@184 010@;@29 682@;@184 010@;@5 286@;@@;@0,3@;@@;@
"9608200000"@;@1 177 157@;@4 551@;@1 212 657@;@1 331 004@;@2 105 672@;@916 469@;@1 473 345@;@118 347@;@118 347@;@0,6@;@71 008,2@;@0,55
"9011901000"@;@30 840@;@@;@@;@@;@@;@@;@30 840@;@@;@@;@0@;@@;@0,5
"9023008000"@;@9 235 310@;@3 134 109@;@@;@@;@@;@@;@9 235 310@;@@;@@;@0,7@;@@;@0,64
"6104430000"@;@568 339@;@153 393@;@3 318@;@3 318@;@3 318@;@@;@418 264@;@0@;@0@;@1@;@0@;@0,88
"9018319009"@;@64 839@;@@;@@;@@;@@;@@;@64 839@;@@;@@;@0@;@@;@0,5
"5403100000"@;@7 259 015@;@@;@8 727 905@;@8 727 905@;@1 494 972@;@7 232 933@;@8 753 987@;@0@;@0@;@0,3@;@0@;@0,47
"0202203000"@;@2 203 167@;@@;@@;@@;@@;@@;@2 203 167@;@@;@@;@0@;@@;@0,5
"8439100009"@;@67 305@;@@;@@;@@;@@;@@;@67 305@;@@;@@;@0@;@@;@0,5
"8539293009"@;@18 340@;@126@;@@;@@;@@;@@;@18 340@;@@;@@;@0,3@;@@;@0,56
"2308004000"@;@@;@4 791@;@@;@@;@@;@@;@0@;@@;@@;@0,3@;@@;@
"0207455100"@;@311 018@;@@;@@;@@;@@;@@;@311 018@;@@;@@;@0@;@@;@0,5
"5211320000"@;@518 327@;@4 696@;@4 653@;@4 653@;@4 653@;@@;@518 284@;@0@;@0@;@1@;@0@;@0,7
"8507903000"@;@1 242 628@;@@;@@;@@;@@;@@;@1 242 628@;@@;@@;@0@;@@;@0,5
"2103909001"@;@22 290 625@;@26 958@;@9 158 397@;@9 794 341@;@8 139 833@;@477 392@;@30 944 672@;@635 944@;@635 944@;@1@;@635 944@;@0,57
"208909500"@;@@;@@;@18 987 041@;@18 987 041@;@18 317 950@;@669 090@;@18 317 950@;@0@;@@;@0,3@;@@;@
"2828100000"@;@675 209@;@@;@@;@@;@@;@@;@675 209@;@@;@@;@0,4@;@@;@0,58
"0201100000"@;@4 311 750@;@@;@@;@@;@@;@@;@4 311 750@;@@;@@;@0,4@;@@;@0,58
"8507308009"@;@@;@@;@@;@@;@@;@@;@0@;@@;@@;@0,4@;@@;@
"1404200000"@;@@;@@;@26 057 694@;@30 738 051@;@18 720 662@;@12 055 497@;@18 720 662@;@4 680 357@;@@;@0,3@;@@;@
"8708299001"@;@33 405 618@;@758 866@;@99 797 930@;@111 506 728@;@99 788 739@;@76 981@;@133 126 567@;@11 708 798@;@11 708 798@;@0,6@;@7 025 278,8@;@0,35
"144200000"@;@@;@@;@108 311@;@108 311@;@108 311@;@@;@108 311@;@0@;@@;@0,3@;@@;@
"8462420006"@;@200 807@;@@;@@;@@;@@;@@;@200 807@;@@;@@;@0@;@@;@0,5
"8301200009"@;@2 801 697@;@79 734@;@@;@@;@@;@@;@2 801 697@;@@;@@;@0,3@;@@;@0,56
"9609200000"@;@9 828@;@@;@@;@@;@@;@@;@9 828@;@@;@@;@0@;@@;@0,5
"8528711100"@;@@;@12@;@2 503 359@;@2 503 359@;@2 503 359@;@@;@2 503 359@;@0@;@@;@0,6@;@@;@
"2206003909"@;@989@;@@;@111 166@;@144 371@;@111 166@;@@;@112 155@;@33 205@;@989@;@0,3@;@296,7@;@10,14
"3824100000"@;@1 114 669@;@69 811@;@6 868 738@;@6 882 854@;@5 537 307@;@1 590 442@;@6 392 965@;@14 116@;@14 116@;@0,6@;@8 469,6@;@0,21
"2933720000"@;@5@;@@;@@;@@;@@;@@;@5@;@@;@@;@0@;@@;@0,5
"7010901001"@;@34 215@;@@;@@;@@;@@;@@;@34 215@;@@;@@;@0@;@@;@0,5
"5403320000"@;@@;@@;@2 012 278@;@2 012 278@;@2 000 667@;@11 611@;@2 000 667@;@0@;@@;@0,3@;@@;@
"0106320010"@;@@;@31@;@@;@@;@@;@@;@0@;@@;@@;@0,3@;@@;@
"9403401000"@;@343 126@;@16 524@;@29 284 306@;@30 402 674@;@27 479 090@;@2 051 338@;@27 576 094@;@1 118 368@;@343 126@;@1@;@343 126@;@1,18
"8705908002"@;@@;@@;@90 852@;@90 852@;@90 852@;@@;@90 852@;@0@;@@;@0,3@;@@;@
"4823200001"@;@52 198@;@@;@5 133@;@6 373@;@5 133@;@@;@57 331@;@1 240@;@1 240@;@0,3@;@372@;@0,52
"6307909100"@;@45 736@;@89@;@7 004@;@7 004@;@7 004@;@1 614@;@51 037@;@0@;@0@;@1@;@0@;@0,65
"3923291000"@;@93 475@;@69 287@;@8 009 911@;@11 121 405@;@5 756 640@;@2 256 231@;@5 847 155@;@3 111 494@;@93 475@;@1@;@93 475@;@10,19
"4002910000"@;@9 262@;@@;@@;@@;@@;@@;@9 262@;@@;@@;@0@;@@;@0,5
"8482109008"@;@13 293 555@;@68 394@;@5 660 022@;@6 037 368@;@4 190 776@;@1 951 022@;@16 934 161@;@377 346@;@377 346@;@1@;@377 346@;@0,6
"8540990000"@;@560@;@@;@@;@@;@@;@@;@560@;@@;@@;@0@;@@;@0,5
"8703405996"@;@102 153@;@@;@@;@@;@@;@@;@102 153@;@@;@@;@0@;@@;@0,5
"7306699000"@;@1 902 567@;@397@;@946 184@;@1 084 244@;@946 184@;@@;@2 848 354@;@138 060@;@138 060@;@0,6@;@82 836@;@0,48
"2007991000"@;@@;@@;@897 492@;@1 120 219@;@872 460@;@71 613@;@872 460@;@222 727@;@@;@0,3@;@@;@
"9403309900"@;@562 871@;@264 601@;@11 089 826@;@11 925 857@;@10 656 135@;@569 947@;@11 082 750@;@836 031@;@562 871@;@1@;@562 871@;@0,67
"7324100000"@;@2 932 075@;@17 822@;@632 860@;@711 659@;@561 759@;@222 339@;@3 324 774@;@78 799@;@78 799@;@1@;@78 799@;@0,65
"8482500009"@;@3 702 342@;@652 231@;@2 342 467@;@2 689 391@;@1 805 257@;@537 210@;@4 855 368@;@346 924@;@346 924@;@1@;@346 924@;@0,61
"5206230002"@;@@;@63 601@;@@;@@;@@;@@;@0@;@@;@@;@0,3@;@@;@
"3808690001"@;@204@;@@;@@;@@;@@;@@;@204@;@@;@@;@0@;@@;@0,5
"5907000000"@;@266 725@;@210@;@14 470@;@14 470@;@14 470@;@@;@280 985@;@0@;@0@;@1@;@0@;@0,67
"8501320002"@;@186 699@;@@;@11 245@;@11 245@;@10 991@;@255@;@197 689@;@0@;@0@;@0,7@;@0@;@0,61
"9032108100"@;@208 794@;@@;@@;@@;@@;@@;@208 794@;@@;@@;@0@;@@;@0,5
"8414594000"@;@6 533 294@;@77 792@;@3 422 038@;@3 489 555@;@890 846@;@110 015@;@9 767 525@;@67 517@;@67 517@;@1@;@67 517@;@0,54
"0406902300"@;@142 238@;@@;@@;@@;@@;@@;@142 238@;@@;@@;@0@;@@;@0,5
"8419400001"@;@33 032@;@@;@@;@@;@@;@@;@33 032@;@@;@@;@0@;@@;@0,5
"8207907100"@;@250@;@@;@@;@@;@@;@@;@250@;@@;@@;@0@;@@;@0,5
"7406100000"@;@9 572@;@@;@692 036@;@692 036@;@692 036@;@@;@701 608@;@0@;@0@;@0,3@;@0@;@0,07
"2922500000"@;@1 727 207@;@95 592@;@@;@@;@@;@@;@1 727 207@;@@;@@;@0,3@;@@;@0,56
"7202112000"@;@@;@@;@679 998@;@696 569@;@679 998@;@@;@679 998@;@16 571@;@@;@0,3@;@@;@
"8207703700"@;@997 004@;@212@;@1 393 336@;@1 393 336@;@1 193 631@;@75 051@;@2 315 289@;@0@;@0@;@1@;@0@;@0,42
"6907409009"@;@1 527 490@;@19 381@;@263 345@;@462 239@;@38 982@;@294 152@;@1 477 302@;@198 894@;@198 894@;@0,6@;@119 336,4@;@0,68
"401101000"@;@@;@@;@13 961 058@;@40 652 706@;@11 302 039@;@2 648 835@;@11 302 039@;@26 691 648@;@@;@0,3@;@@;@
"8440900000"@;@12 899@;@@;@@;@@;@@;@@;@12 899@;@@;@@;@0@;@@;@0,5
"2937500000"@;@4 631@;@@;@@;@@;@@;@@;@4 631@;@@;@@;@0@;@@;@0,5
"1518009100"@;@227 608@;@@;@@;@@;@@;@@;@227 608@;@@;@@;@0@;@@;@0,5
"2904200000"@;@122@;@@;@@;@@;@@;@@;@122@;@@;@@;@0@;@@;@0,5
"2843290000"@;@9 377@;@1 714@;@@;@@;@@;@@;@9 377@;@@;@@;@0,3@;@@;@0,56
"5403310000"@;@1 567 499@;@9 543 616@;@233 325@;@233 325@;@233 325@;@@;@1 800 824@;@0@;@0@;@0,6@;@0@;@0,56
"3920621200"@;@2 617@;@@;@@;@@;@@;@@;@2 617@;@@;@@;@0@;@@;@0,5
"1103192000"@;@283 979@;@@;@116 186@;@116 186@;@116 186@;@@;@400 165@;@0@;@0@;@0,3@;@0@;@0,41
"7404009100"@;@161 182@;@@;@@;@@;@@;@@;@161 182@;@@;@@;@0@;@@;@0,5
"1701910011"@;@15 928@;@@;@230 189@;@242 304@;@225 668@;@4 521@;@241 596@;@12 115@;@12 115@;@0,3@;@3 634,5@;@0,32
"5408240000"@;@680@;@@;@@;@@;@@;@@;@680@;@@;@@;@0@;@@;@0,5
"2106909309"@;@@;@@;@@;@@;@@;@@;@0@;@@;@@;@0,4@;@@;@
"8523210000"@;@52 175@;@@;@35 037@;@53 359@;@31 918@;@3 118@;@84 094@;@18 322@;@18 322@;@0,3@;@5 496,6@;@0,48
"2834210000"@;@1 896 358@;@151 567@;@463 905@;@463 905@;@164 430@;@391 044@;@1 817 652@;@0@;@0@;@0,6@;@0@;@0,64
"6504000000"@;@33 674@;@1 673@;@937 980@;@952 007@;@922 680@;@71 928@;@899 726@;@14 027@;@14 027@;@1@;@14 027@;@0,34
"8507302000"@;@42 438@;@@;@75 972@;@75 972@;@66 325@;@9 647@;@108 763@;@0@;@0@;@0,3@;@0@;@0,26
"7208270000"@;@13 762 222@;@@;@35 710@;@37 083@;@35 710@;@@;@13 797 932@;@1 373@;@1 373@;@0,3@;@411,9@;@0,56
"8716393009"@;@9 077 332@;@310 950@;@343 564@;@343 564@;@2 169 655@;@3 506 203@;@5 603 743@;@0@;@0@;@0,6@;@0@;@0,93
"8507102003"@;@19 820 901@;@5 333 577@;@37 731 148@;@37 829 362@;@34 175 381@;@6 675 553@;@50 876 496@;@98 214@;@98 214@;@1@;@98 214@;@0,4
"5211310000"@;@73 519@;@@;@@;@@;@@;@@;@73 519@;@@;@@;@0,4@;@@;@0,58
"2206005100"@;@5 694@;@@;@@;@@;@@;@@;@5 694@;@@;@@;@0@;@@;@0,5
"1806310000"@;@31 206 151@;@750 069@;@1 507 996@;@1 709 463@;@1 487 253@;@42 358@;@31 921 720@;@201 467@;@201 467@;@0,6@;@120 880,2@;@0,61
"9001200000"@;@6 310@;@@;@@;@@;@@;@@;@6 310@;@@;@@;@0@;@@;@0,5
"303891030"@;@@;@@;@26 557@;@26 557@;@18 035@;@5 379@;@18 035@;@0@;@@;@0,3@;@@;@
"1604131900"@;@393 073@;@1 040@;@@;@@;@@;@@;@393 073@;@@;@@;@0,3@;@@;@0,56
"1207409000"@;@2 509 625@;@14@;@@;@@;@@;@@;@2 509 625@;@@;@@;@0,3@;@@;@0,56
"0204429000"@;@998 517@;@@;@@;@@;@@;@@;@998 517@;@@;@@;@0@;@@;@0,5
"8701299019"@;@4 689 367@;@@;@@;@@;@@;@@;@4 689 367@;@@;@@;@0@;@@;@0,5
"5407720000"@;@369 505@;@10 456@;@3 748@;@3 748@;@3 748@;@@;@362 797@;@0@;@0@;@0,6@;@0@;@0,63
"8481109908"@;@1 771 219@;@41 844@;@1 441 386@;@1 441 386@;@1 241 287@;@75 445@;@3 095 316@;@0@;@0@;@0,6@;@0@;@0,41
"8507208005"@;@@;@@;@@;@@;@@;@@;@0@;@@;@@;@0,4@;@@;@
"9405190011"@;@13 600@;@768@;@@;@@;@@;@@;@13 600@;@@;@@;@0,3@;@@;@0,56
"8905901009"@;@@;@@;@@;@@;@@;@@;@0@;@@;@@;@0,4@;@@;@
"5703390003"@;@2 390@;@@;@@;@@;@@;@@;@2 390@;@@;@@;@0@;@@;@0,5
