"tnved_code"@;@"imp_usd"@;@"exp_usd"@;@"manufacture_usd"@;@"power_usd"@;@"sold_usd"@;@"left_usd"@;@"market_by_tnved"@;@"fm"@;@"pl_2"@;@"coef_gotovnosti"@;@"pl_3"@;@"ilp"
"8411828000"@;@47 918 683@;@@;@@;@@;@@;@@;@47 918 683@;@@;@@;@0@;@@;@0,5
"8462690095"@;@12 854@;@@;@@;@@;@@;@@;@12 854@;@@;@@;@0@;@@;@0,5
"402991000"@;@@;@@;@54 698 672@;@54 964 539@;@31 094 725@;@24 740 190@;@31 094 725@;@265 867@;@@;@0,3@;@@;@
"3811210000"@;@2 792 022@;@7 040@;@4 655@;@4 655@;@4 655@;@15 889@;@2 773 748@;@0@;@0@;@0,6@;@0@;@0,62
"6005430000"@;@@;@@;@39 591@;@39 591@;@39 591@;@@;@39 591@;@0@;@@;@0,3@;@@;@
"8407310000"@;@18 748@;@@;@@;@@;@@;@@;@18 748@;@@;@@;@0@;@@;@0,5
"6112110000"@;@342 359@;@14 048 014@;@4 593 317@;@4 641 731@;@2 927 376@;@1 694 992@;@3 240 684@;@48 414@;@48 414@;@1@;@48 414@;@0,3
"8205100000"@;@54 425@;@326 045@;@2 773@;@2 773@;@2 773@;@@;@57 198@;@0@;@0@;@0,6@;@0@;@0,6
"1604201000"@;@85 688@;@@;@2 474 869@;@3 762 343@;@2 416 364@;@58 504@;@2 502 053@;@1 287 474@;@85 688@;@0,3@;@25 706,4@;@4,58
"2710124100"@;@@;@@;@8 589 564@;@8 589 564@;@9 974 182@;@763 006@;@9 974 182@;@0@;@@;@0,3@;@@;@
"1515908909"@;@295 607@;@10@;@@;@@;@@;@@;@295 607@;@@;@@;@0,3@;@@;@0,56
"6006900000"@;@122 467@;@4 398 509@;@27 288 264@;@28 021 110@;@13 131 795@;@4 266 394@;@23 144 337@;@732 846@;@122 467@;@0,6@;@73 480,2@;@1,92
"6210500000"@;@62 499@;@955@;@201 781@;@227 004@;@201 781@;@@;@264 280@;@25 223@;@25 223@;@1@;@25 223@;@0,44
"5210210000"@;@35 113@;@24 737@;@@;@@;@@;@@;@35 113@;@@;@@;@0,3@;@@;@0,56
"8201300000"@;@415 077@;@6 467@;@11 890@;@11 890@;@7 861@;@4 029@;@416 471@;@0@;@0@;@1@;@0@;@0,7
"6204623100"@;@2 342 192@;@11 941 585@;@579 209@;@1 124 756@;@578 737@;@9 813@;@2 911 588@;@545 547@;@545 547@;@0,6@;@327 328,2@;@0,59
"6307101000"@;@656 223@;@3 295@;@434 807@;@438 669@;@428 786@;@43 290@;@1 044 445@;@3 862@;@3 862@;@1@;@3 862@;@0,52
