"tnved_code"@;@"tnved_2"@;@"tnved_2_name"@;@"tnved_10"@;@"tnved_10_name"@;@"tnved_4"@;@"tnved_4_name"@;@"tnved_6"@;@"tnved_6_name"
"0106130090"@;@"01"@;@Живые животные@;@"0106130090"@;@Живые животные прочие:млекопитающие: верблюды и прочие животные семейства верблюдовых (Camelidae): прочие@;@"0106"@;@Живые животные прочие@;@"010613"@;@Верблюды и прочие животные семейства верблюдовых
"0106141010"@;@"01"@;@Живые животные@;@"0106141010"@;@Живые животные прочие:млекопитающие: кролики и зайцы: кролики домашние: для научно-исследовательских целей@;@"0106"@;@Живые животные прочие@;@"010614"@;@Кролики и зайцы
"0106141090"@;@"01"@;@Живые животные@;@"0106141090"@;@Живые животные прочие:млекопитающие: кролики и зайцы: кролики домашние: прочие@;@"0106"@;@Живые животные прочие@;@"010614"@;@Кролики и зайцы
"0106149010"@;@"01"@;@Живые животные@;@"0106149010"@;@Живые животные прочие:млекопитающие: кролики и зайцы: прочие: для научно-исследовательских целей@;@"0106"@;@Живые животные прочие@;@"010614"@;@Кролики и зайцы
"0106149090"@;@"01"@;@Живые животные@;@"0106149090"@;@Живые животные прочие:млекопитающие: кролики и зайцы: прочие: прочие@;@"0106"@;@Живые животные прочие@;@"010614"@;@Кролики и зайцы
"0106190010"@;@"01"@;@Живые животные@;@"0106190010"@;@Живые животные прочие:млекопитающие: прочие: для научно-исследовательских целей@;@"0106"@;@Живые животные прочие@;@"010619"@;@Прочие млекопитающие
"0106190091"@;@"01"@;@Живые животные@;@"0106190091"@;@Живые животные прочие:млекопитающие: прочие: прочие лисицы@;@"0106"@;@Живые животные прочие@;@"010619"@;@Прочие млекопитающие
"0106190092"@;@"01"@;@Живые животные@;@"0106190092"@;@Живые животные прочие:млекопитающие: прочие: прочие песцы@;@"0106"@;@Живые животные прочие@;@"010619"@;@Прочие млекопитающие
"0106190093"@;@"01"@;@Живые животные@;@"0106190093"@;@Живые животные прочие:млекопитающие: прочие: прочие соболи@;@"0106"@;@Живые животные прочие@;@"010619"@;@Прочие млекопитающие
"0106190094"@;@"01"@;@Живые животные@;@"0106190094"@;@Живые животные прочие:млекопитающие: прочие: прочие норки@;@"0106"@;@Живые животные прочие@;@"010619"@;@Прочие млекопитающие
"0106190099"@;@"01"@;@Живые животные@;@"0106190099"@;@Живые животные прочие:млекопитающие: прочие: прочие прочие@;@"0106"@;@Живые животные прочие@;@"010619"@;@Прочие млекопитающие
"0106191000"@;@"01"@;@Живые животные@;@"0106191000"@;@Живые животные прочие: млекопитающие: прочие: кролики домашние@;@"0106"@;@Живые животные прочие@;@"010619"@;@Прочие млекопитающие
"0106199010"@;@"01"@;@Живые животные@;@"0106199010"@;@Живые животные прочие: млекопитающие: прочие: прочие: для научно-исследовательских целей@;@"0106"@;@Живые животные прочие@;@"010619"@;@Прочие млекопитающие
"0106199091"@;@"01"@;@Живые животные@;@"0106199091"@;@Живые животные прочие: млекопитающие: прочие: прочие: прочие: лисицы@;@"0106"@;@Живые животные прочие@;@"010619"@;@Прочие млекопитающие
"0106199092"@;@"01"@;@Живые животные@;@"0106199092"@;@Живые животные прочие: млекопитающие: прочие: прочие: прочие: песцы@;@"0106"@;@Живые животные прочие@;@"010619"@;@Прочие млекопитающие
"0106199093"@;@"01"@;@Живые животные@;@"0106199093"@;@Живые животные прочие: млекопитающие: прочие: прочие: прочие: соболи@;@"0106"@;@Живые животные прочие@;@"010619"@;@Прочие млекопитающие
"0106199094"@;@"01"@;@Живые животные@;@"0106199094"@;@Живые животные прочие: млекопитающие: прочие: прочие: прочие: норки@;@"0106"@;@Живые животные прочие@;@"010619"@;@Прочие млекопитающие
"0106199099"@;@"01"@;@Живые животные@;@"0106199099"@;@Живые животные прочие: млекопитающие: прочие: прочие: прочие: прочие@;@"0106"@;@Живые животные прочие@;@"010619"@;@Прочие млекопитающие
"0106200010"@;@"01"@;@Живые животные@;@"0106200010"@;@Живые животные прочие:рептилии (включая змей и черепах): для научно-исследовательских целей@;@"0106"@;@Живые животные прочие@;@"010620"@;@Рептилии (включая змей и черепах)
"0106200090"@;@"01"@;@Живые животные@;@"0106200090"@;@Живые животные прочие:рептилии (включая змей и черепах): прочие@;@"0106"@;@Живые животные прочие@;@"010620"@;@Рептилии (включая змей и черепах)
"0106310010"@;@"01"@;@Живые животные@;@"0106310010"@;@Живые животные прочие:птицы: хищные птицы: для научно-исследовательских целей@;@"0106"@;@Живые животные прочие@;@"010631"@;@Хищные птицы
"0106310090"@;@"01"@;@Живые животные@;@"0106310090"@;@Живые животные прочие:птицы: хищные птицы: прочие@;@"0106"@;@Живые животные прочие@;@"010631"@;@Хищные птицы
"0106320010"@;@"01"@;@Живые животные@;@"0106320010"@;@Живые животные прочие:птицы: попугаеобразные (включая попугаев, длиннохвостых попугаев, ара и какаду): для научно-исследовательских целей@;@"0106"@;@Живые животные прочие@;@"010632"@;@Попугаеобразные (включая попугаев, длиннохвостых попугаев, ара и какаду)
"0106320090"@;@"01"@;@Живые животные@;@"0106320090"@;@Живые животные прочие:птицы: попугаеобразные (включая попугаев, длиннохвостых попугаев, ара и какаду): прочие@;@"0106"@;@Живые животные прочие@;@"010632"@;@Попугаеобразные (включая попугаев, длиннохвостых попугаев, ара и какаду)
"0106330010"@;@"01"@;@Живые животные@;@"0106330010"@;@Живые животные прочие:птицы: страусы; эму (Dromaius novaehollandiae): для научно-исследовательских целей@;@"0106"@;@Живые животные прочие@;@"010633"@;@Страусы; эму
