"tnved_code"@;@"imp_usd"@;@"exp_usd"@;@"manufacture_usd"@;@"power_usd"@;@"sold_usd"@;@"left_usd"@;@"certificates_count"@;@"avg_localization_rate"@;@"market"@;@"iz"@;@"rp"@;@"hhi"@;@"ci"@;@"manufacturers_count"@;@"pr"@;@"capacity_utilization"@;@"mp"@;@"st"@;@"iri"
"0703101100"@;@4 639@;@@;@@;@@;@@;@@;@2@;@100@;@4 639@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@70@;@68,5
"2918193000"@;@277 945@;@@;@@;@@;@@;@@;@@;@@;@277 945@;@100@;@@;@9 661,3286@;@96,61@;@0@;@100@;@@;@@;@100@;@69,5
"8440900000"@;@12 899@;@@;@@;@@;@@;@@;@@;@@;@12 899@;@100@;@@;@4 396,5351@;@43,97@;@0@;@100@;@@;@@;@100@;@61,6
"9004109100"@;@699 545@;@451@;@@;@@;@@;@@;@@;@@;@699 545@;@100@;@@;@2 616,9268@;@26,17@;@0@;@100@;@@;@@;@100@;@58,9
"3505109000"@;@2 786 168@;@34 988@;@@;@@;@@;@@;@@;@@;@2 786 168@;@100@;@@;@1 966,5432@;@19,67@;@0@;@100@;@@;@@;@100@;@58
"4411931000"@;@@;@@;@@;@@;@@;@@;@1@;@69@;@0@;@@;@@;@@;@0@;@0@;@100@;@@;@@;@70@;@13,5
"0406908600"@;@1 035 633@;@@;@@;@@;@@;@@;@4@;@99@;@1 035 633@;@100@;@@;@6 497,438@;@64,97@;@0@;@100@;@@;@@;@70@;@63,2
"8407329000"@;@1 558 987@;@@;@@;@@;@@;@@;@@;@@;@1 558 987@;@100@;@@;@9 990,005@;@99,9@;@0@;@100@;@@;@@;@100@;@70
"8542339000"@;@129 366@;@@;@@;@@;@@;@@;@@;@@;@129 366@;@100@;@@;@4 918,4774@;@49,18@;@0@;@100@;@@;@@;@100@;@62,4
"2009897308"@;@96 439@;@@;@@;@@;@@;@@;@@;@@;@96 439@;@100@;@@;@9 904,3456@;@99,04@;@0@;@100@;@@;@@;@100@;@69,9
"2102103100"@;@12 639 314@;@936@;@@;@@;@@;@@;@@;@@;@12 639 314@;@100@;@@;@7 452,6048@;@74,53@;@0@;@100@;@@;@@;@100@;@66,2
"1103194000"@;@18 562@;@@;@@;@@;@@;@@;@@;@@;@18 562@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"2008303900"@;@21 682@;@@;@@;@@;@@;@@;@@;@@;@21 682@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"2101110011"@;@2 408 533@;@518 581@;@@;@@;@@;@@;@@;@@;@2 408 533@;@100@;@@;@4 182,0082@;@41,82@;@0@;@100@;@@;@@;@100@;@61,3
"4407123200"@;@59 925@;@@;@@;@@;@@;@@;@@;@@;@59 925@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"4408909501"@;@10 470@;@@;@@;@@;@@;@@;@@;@@;@10 470@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"5206110008"@;@14 500@;@9 958@;@@;@@;@@;@@;@@;@@;@14 500@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"9614009000"@;@113 183@;@@;@@;@@;@@;@@;@@;@@;@113 183@;@100@;@@;@7 079,7362@;@70,8@;@0@;@100@;@@;@@;@100@;@65,6
"2007995007"@;@156 722@;@@;@@;@@;@@;@@;@@;@@;@156 722@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"0910910500"@;@5 666@;@@;@@;@@;@@;@@;@@;@@;@5 666@;@100@;@@;@7 712,8978@;@77,13@;@0@;@100@;@@;@@;@100@;@66,6
"3603200009"@;@1 871 749@;@@;@@;@@;@@;@@;@1@;@88,7@;@1 871 749@;@100@;@@;@8 683,0386@;@86,83@;@0@;@100@;@@;@@;@70@;@66,5
"7322900009"@;@@;@@;@@;@@;@@;@@;@5@;@69,6@;@0@;@@;@@;@@;@0@;@0@;@100@;@@;@@;@70@;@13,5
"8704219801"@;@24 356@;@@;@@;@@;@@;@@;@@;@@;@24 356@;@100@;@@;@5 151,7282@;@51,52@;@0@;@100@;@@;@@;@100@;@62,7
"9015801100"@;@5 242 547@;@32 328@;@@;@@;@@;@@;@1@;@31,44@;@5 242 547@;@100@;@@;@2 663,8967@;@26,64@;@0@;@100@;@@;@@;@70@;@57,5
"4911101001"@;@1 633@;@15@;@@;@@;@@;@@;@1@;@31@;@1 633@;@100@;@@;@3 527,0462@;@35,27@;@0@;@100@;@@;@@;@70@;@58,8
"3004500006"@;@410 318@;@4@;@@;@@;@@;@@;@@;@@;@410 318@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"8708929101"@;@562@;@@;@@;@@;@@;@@;@@;@@;@562@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"9025198009"@;@1 964 903@;@28 732@;@@;@@;@@;@@;@@;@@;@1 964 903@;@100@;@@;@1 702,5703@;@17,03@;@0@;@100@;@@;@@;@100@;@57,6
"6204391900"@;@322 317@;@4 213@;@@;@@;@@;@@;@@;@@;@322 317@;@100@;@@;@3 904,3713@;@39,04@;@0@;@100@;@@;@@;@100@;@60,9
"4504101100"@;@38 240@;@@;@@;@@;@@;@@;@@;@@;@38 240@;@100@;@@;@9 990,005@;@99,9@;@0@;@100@;@@;@@;@100@;@70
"4114200000"@;@18 137@;@@;@@;@@;@@;@@;@@;@@;@18 137@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"4301300000"@;@93 560@;@@;@@;@@;@@;@@;@@;@@;@93 560@;@100@;@@;@8 843,8912@;@88,44@;@0@;@100@;@@;@@;@100@;@68,3
"8907100000"@;@469 882@;@10 413@;@@;@@;@@;@@;@@;@@;@469 882@;@100@;@@;@3 298,2643@;@32,98@;@0@;@100@;@@;@@;@100@;@59,9
"8714105000"@;@27 902@;@@;@@;@@;@@;@@;@@;@@;@27 902@;@100@;@@;@9 644,9562@;@96,45@;@0@;@100@;@@;@@;@100@;@69,5
"0406902300"@;@142 238@;@@;@@;@@;@@;@@;@@;@@;@142 238@;@100@;@@;@3 168,6862@;@31,69@;@0@;@100@;@@;@@;@100@;@59,8
"2917340000"@;@3 069 068@;@@;@@;@@;@@;@@;@@;@@;@3 069 068@;@100@;@@;@4 817,5072@;@48,18@;@0@;@100@;@@;@@;@100@;@62,2
"4911109000"@;@230 758@;@11 293@;@@;@@;@@;@@;@108@;@41,32@;@230 758@;@100@;@@;@1 446,638@;@14,47@;@0@;@100@;@@;@@;@70@;@55,7
"2009905107"@;@3 557@;@2 880@;@@;@@;@@;@@;@@;@@;@3 557@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"4301807099"@;@33 523@;@@;@@;@@;@@;@@;@@;@@;@33 523@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"2914698000"@;@150 149@;@@;@@;@@;@@;@@;@@;@@;@150 149@;@100@;@@;@7 350,2731@;@73,5@;@0@;@100@;@@;@@;@100@;@66
"8529909600"@;@838 954@;@1 103@;@@;@@;@@;@@;@@;@@;@838 954@;@100@;@@;@3 817,2116@;@38,17@;@0@;@100@;@@;@@;@100@;@60,7
"9017200500"@;@515@;@@;@@;@@;@@;@@;@@;@@;@515@;@100@;@@;@9 397,3442@;@93,97@;@0@;@100@;@@;@@;@100@;@69,1
"2843300000"@;@22 266@;@28 381@;@@;@@;@@;@@;@@;@@;@22 266@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"2009491908"@;@1 936@;@@;@@;@@;@@;@@;@@;@@;@1 936@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"5515123000"@;@17 514 922@;@@;@@;@@;@@;@@;@@;@@;@17 514 922@;@100@;@@;@4 880,2971@;@48,8@;@0@;@100@;@@;@@;@100@;@62,3
"2005100090"@;@32 615@;@@;@@;@@;@@;@@;@@;@@;@32 615@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"8430610000"@;@221 013@;@@;@@;@@;@@;@@;@@;@@;@221 013@;@100@;@@;@5 015,3482@;@50,15@;@0@;@100@;@@;@@;@100@;@62,5
"8515290001"@;@285 156@;@@;@@;@@;@@;@@;@@;@@;@285 156@;@100@;@@;@9 118,1086@;@91,18@;@0@;@100@;@@;@@;@100@;@68,7
"5205260002"@;@@;@69 306@;@@;@@;@@;@@;@@;@@;@0@;@@;@@;@@;@0@;@0@;@100@;@@;@@;@100@;@15
"0210209000"@;@169@;@@;@@;@@;@@;@@;@@;@@;@169@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"1104295100"@;@1 358@;@@;@@;@@;@@;@@;@@;@@;@1 358@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"0713101000"@;@6 673@;@@;@@;@@;@@;@@;@@;@@;@6 673@;@100@;@@;@7 830,5288@;@78,31@;@0@;@100@;@@;@@;@100@;@66,7
"8471709800"@;@17 011 999@;@67@;@@;@@;@@;@@;@@;@@;@17 011 999@;@100@;@@;@3 290,0538@;@32,9@;@0@;@100@;@@;@@;@100@;@59,9
"8471707000"@;@89 556@;@@;@@;@@;@@;@@;@@;@@;@89 556@;@100@;@@;@2 897,646@;@28,98@;@0@;@100@;@@;@@;@100@;@59,3
"2713120009"@;@5 268@;@@;@@;@@;@@;@@;@@;@@;@5 268@;@100@;@@;@6 313,7938@;@63,14@;@0@;@100@;@@;@@;@100@;@64,5
"2905449900"@;@1 971 498@;@3 731@;@@;@@;@@;@@;@@;@@;@1 971 498@;@100@;@@;@2 307,8629@;@23,08@;@0@;@100@;@@;@@;@100@;@58,5
"3906100000"@;@1 857 764@;@539 976@;@@;@@;@@;@@;@@;@@;@1 857 764@;@100@;@@;@2 376,0655@;@23,76@;@0@;@100@;@@;@@;@100@;@58,6
"9001502000"@;@1 971@;@@;@@;@@;@@;@@;@@;@@;@1 971@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"7010909109"@;@739 155@;@186 777@;@@;@@;@@;@@;@@;@@;@739 155@;@100@;@@;@9 220,3003@;@92,2@;@0@;@100@;@@;@@;@100@;@68,8
"0403905309"@;@@;@@;@@;@@;@@;@@;@2@;@93,76@;@0@;@@;@@;@@;@0@;@0@;@100@;@@;@@;@70@;@13,5
"7505220000"@;@249 303@;@@;@@;@@;@@;@@;@@;@@;@249 303@;@100@;@@;@3 960,8423@;@39,61@;@0@;@100@;@@;@@;@100@;@60,9
"1602323000"@;@960 930@;@@;@@;@@;@@;@@;@@;@@;@960 930@;@100@;@@;@8 698,7462@;@86,99@;@0@;@100@;@@;@@;@100@;@68
"2843109000"@;@22 173@;@@;@@;@@;@@;@@;@@;@@;@22 173@;@100@;@@;@9 138,6802@;@91,39@;@0@;@100@;@@;@@;@100@;@68,7
"9024101300"@;@166 728@;@@;@@;@@;@@;@@;@@;@@;@166 728@;@100@;@@;@2 256,9153@;@22,57@;@0@;@100@;@@;@@;@100@;@58,4
"2931900001"@;@23 688@;@@;@@;@@;@@;@@;@@;@@;@23 688@;@100@;@@;@3 595,1432@;@35,95@;@0@;@100@;@@;@@;@100@;@60,4
"8416201000"@;@1 047 073@;@53 871@;@@;@@;@@;@@;@@;@@;@1 047 073@;@100@;@@;@2 839,7547@;@28,4@;@0@;@100@;@@;@@;@100@;@59,3
"3827610000"@;@219 891@;@@;@@;@@;@@;@@;@@;@@;@219 891@;@100@;@@;@9 786,3328@;@97,86@;@0@;@100@;@@;@@;@100@;@69,7
"6005385000"@;@65@;@@;@@;@@;@@;@@;@@;@@;@65@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"8708809109"@;@25 418@;@2 235@;@@;@@;@@;@@;@@;@@;@25 418@;@100@;@@;@6 211,517@;@62,12@;@0@;@100@;@@;@@;@100@;@64,3
"5509920000"@;@@;@138 650@;@@;@@;@@;@@;@@;@@;@0@;@@;@@;@@;@0@;@0@;@100@;@@;@@;@100@;@15
"2603000000"@;@237 248 794@;@166 130@;@@;@@;@@;@@;@@;@@;@237 248 794@;@100@;@@;@5 256,9735@;@52,57@;@0@;@100@;@@;@@;@100@;@62,9
"8704229809"@;@@;@23 690@;@@;@@;@@;@@;@@;@@;@0@;@@;@@;@@;@0@;@0@;@100@;@@;@@;@100@;@15
"5508201000"@;@184 952@;@@;@@;@@;@@;@@;@@;@@;@184 952@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"2204212800"@;@45 532@;@@;@@;@@;@@;@@;@@;@@;@45 532@;@100@;@@;@4 723,5833@;@47,24@;@0@;@100@;@@;@@;@100@;@62,1
"5206220006"@;@@;@3 966@;@@;@@;@@;@@;@@;@@;@0@;@@;@@;@@;@0@;@0@;@100@;@@;@@;@100@;@15
"8517790009"@;@7 055 060@;@2 710 917@;@@;@@;@@;@@;@@;@@;@7 055 060@;@100@;@@;@5 080,7726@;@50,81@;@0@;@100@;@@;@@;@100@;@62,6
"2905168500"@;@1 047 536@;@@;@@;@@;@@;@@;@@;@@;@1 047 536@;@100@;@@;@4 077,2449@;@40,77@;@0@;@100@;@@;@@;@100@;@61,1
"1704903000"@;@6 096 523@;@91 229@;@@;@@;@@;@@;@@;@@;@6 096 523@;@100@;@@;@4 306,442@;@43,06@;@0@;@100@;@@;@@;@100@;@61,5
"8424499900"@;@403 994@;@@;@@;@@;@@;@@;@1@;@7,41@;@403 994@;@100@;@@;@5 814,5821@;@58,15@;@0@;@100@;@@;@@;@70@;@62,2
"0802510000"@;@3 946 436@;@276 362@;@@;@@;@@;@@;@@;@@;@3 946 436@;@100@;@@;@5 306,572@;@53,07@;@0@;@100@;@@;@@;@100@;@63
"8462610013"@;@592 822@;@@;@@;@@;@@;@@;@@;@@;@592 822@;@100@;@@;@8 597,2162@;@85,97@;@0@;@100@;@@;@@;@100@;@67,9
"8443133100"@;@8 396@;@@;@@;@@;@@;@@;@@;@@;@8 396@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"7306619209"@;@@;@@;@@;@@;@@;@@;@6@;@55,88@;@0@;@@;@@;@@;@0@;@0@;@100@;@@;@@;@70@;@13,5
"9032108100"@;@208 794@;@@;@@;@@;@@;@@;@@;@@;@208 794@;@100@;@@;@4 457,3145@;@44,57@;@0@;@100@;@@;@@;@100@;@61,7
"7209279009"@;@12 643 047@;@106 687@;@@;@@;@@;@@;@@;@@;@12 643 047@;@100@;@@;@5 178,6066@;@51,79@;@0@;@100@;@@;@@;@100@;@62,8
"8448330000"@;@1 692 052@;@53 455@;@@;@@;@@;@@;@@;@@;@1 692 052@;@100@;@@;@2 267,6015@;@22,68@;@0@;@100@;@@;@@;@100@;@58,4
"5509510000"@;@205 646@;@76 666@;@@;@@;@@;@@;@@;@@;@205 646@;@100@;@@;@5 723,5208@;@57,24@;@0@;@100@;@@;@@;@100@;@63,6
"6803001000"@;@73 811@;@@;@@;@@;@@;@@;@@;@@;@73 811@;@100@;@@;@4 439,6619@;@44,4@;@0@;@100@;@@;@@;@100@;@61,7
"1103202500"@;@10 509@;@@;@@;@@;@@;@@;@@;@@;@10 509@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"2008706900"@;@3 627@;@114@;@@;@@;@@;@@;@@;@@;@3 627@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"8433591109"@;@228 137@;@@;@@;@@;@@;@@;@@;@@;@228 137@;@100@;@@;@3 395,4742@;@33,95@;@0@;@100@;@@;@@;@100@;@60,1
"3004900005"@;@470 545@;@@;@@;@@;@@;@@;@@;@@;@470 545@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"2840300000"@;@8 911@;@@;@@;@@;@@;@@;@@;@@;@8 911@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"8467295300"@;@29 211@;@@;@@;@@;@@;@@;@@;@@;@29 211@;@100@;@@;@4 959,2992@;@49,59@;@0@;@100@;@@;@@;@100@;@62,4
"8528491000"@;@15 879@;@@;@@;@@;@@;@@;@@;@@;@15 879@;@100@;@@;@5 271,445@;@52,71@;@0@;@100@;@@;@@;@100@;@62,9
"8417100000"@;@3 094 530@;@10 600@;@@;@@;@@;@@;@@;@@;@3 094 530@;@100@;@@;@4 649,3544@;@46,49@;@0@;@100@;@@;@@;@100@;@62
"8716395002"@;@298 817@;@@;@@;@@;@@;@@;@@;@@;@298 817@;@100@;@@;@8 466,1138@;@84,66@;@0@;@100@;@@;@@;@100@;@67,7
"9405290032"@;@63 910@;@@;@@;@@;@@;@@;@@;@@;@63 910@;@100@;@@;@5 867,6469@;@58,68@;@0@;@100@;@@;@@;@100@;@63,8
"8480490000"@;@893 444@;@@;@@;@@;@@;@@;@@;@@;@893 444@;@100@;@@;@4 219,6708@;@42,2@;@0@;@100@;@@;@@;@100@;@61,3
"6601999000"@;@79 364@;@1 608@;@@;@@;@@;@@;@@;@@;@79 364@;@100@;@@;@8 453,2615@;@84,53@;@0@;@100@;@@;@@;@100@;@67,7
"2404110001"@;@@;@14 782 717@;@@;@@;@@;@@;@@;@@;@0@;@@;@@;@@;@0@;@0@;@100@;@@;@@;@100@;@15
"4205009000"@;@647 967@;@146@;@@;@@;@@;@@;@6@;@73,91@;@647 967@;@100@;@@;@8 631,476@;@86,31@;@0@;@100@;@@;@@;@70@;@66,4
"8711400000"@;@65 721@;@@;@@;@@;@@;@@;@@;@@;@65 721@;@100@;@@;@8 891,3842@;@88,91@;@0@;@100@;@@;@@;@100@;@68,3
"2921220000"@;@2 167@;@@;@@;@@;@@;@@;@@;@@;@2 167@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"2306200000"@;@31 586@;@@;@@;@@;@@;@@;@@;@@;@31 586@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"9017201000"@;@323 316@;@39@;@@;@@;@@;@@;@@;@@;@323 316@;@100@;@@;@3 831,1361@;@38,31@;@0@;@100@;@@;@@;@100@;@60,7
"1701999001"@;@14 563@;@@;@@;@@;@@;@@;@@;@@;@14 563@;@100@;@@;@5 223,5589@;@52,24@;@0@;@100@;@@;@@;@100@;@62,8
"2202991800"@;@11 186 456@;@3 131 600@;@@;@@;@@;@@;@7@;@55,4@;@11 186 456@;@100@;@@;@4 394,9095@;@43,95@;@0@;@100@;@@;@@;@70@;@60,1
"0101291000"@;@2 309 157@;@@;@@;@@;@@;@@;@@;@@;@2 309 157@;@100@;@@;@9 103,2546@;@91,03@;@0@;@100@;@@;@@;@100@;@68,7
"2106909805"@;@28 301@;@@;@@;@@;@@;@@;@@;@@;@28 301@;@100@;@@;@8 413,0322@;@84,13@;@0@;@100@;@@;@@;@100@;@67,6
"0601203000"@;@249 496@;@@;@@;@@;@@;@@;@@;@@;@249 496@;@100@;@@;@9 596,1123@;@95,96@;@0@;@100@;@@;@@;@100@;@69,4
"1806208000"@;@927 060@;@220 087@;@@;@@;@@;@@;@@;@@;@927 060@;@100@;@@;@8 582,1718@;@85,82@;@0@;@100@;@@;@@;@100@;@67,9
"8462690099"@;@36 545@;@@;@@;@@;@@;@@;@@;@@;@36 545@;@100@;@@;@6 303,2633@;@63,03@;@0@;@100@;@@;@@;@100@;@64,5
"9306909000"@;@260@;@@;@@;@@;@@;@@;@@;@@;@260@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"2942000000"@;@360 130@;@1 532@;@@;@@;@@;@@;@@;@@;@360 130@;@100@;@@;@3 621,656@;@36,22@;@0@;@100@;@@;@@;@100@;@60,4
"5206210006"@;@1 074@;@@;@@;@@;@@;@@;@@;@@;@1 074@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"2933919000"@;@16 609@;@@;@@;@@;@@;@@;@@;@@;@16 609@;@100@;@@;@5 881,8952@;@58,82@;@0@;@100@;@@;@@;@100@;@63,8
"2610000000"@;@221 974@;@@;@@;@@;@@;@@;@@;@@;@221 974@;@100@;@@;@6 990,805@;@69,91@;@0@;@100@;@@;@@;@100@;@65,5
"8704519109"@;@25 200@;@@;@@;@@;@@;@@;@@;@@;@25 200@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"2009199809"@;@118 407@;@922@;@@;@@;@@;@@;@@;@@;@118 407@;@100@;@@;@8 969,6029@;@89,7@;@0@;@100@;@@;@@;@100@;@68,5
"4016999702"@;@6 378@;@1 070@;@@;@@;@@;@@;@@;@@;@6 378@;@100@;@@;@4 494,1321@;@44,94@;@0@;@100@;@@;@@;@100@;@61,7
"5501900000"@;@71@;@@;@@;@@;@@;@@;@@;@@;@71@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"8541900000"@;@987 512@;@@;@@;@@;@@;@@;@@;@@;@987 512@;@100@;@@;@9 854,8225@;@98,55@;@0@;@100@;@@;@@;@100@;@69,8
"9017209000"@;@18 211@;@@;@@;@@;@@;@@;@@;@@;@18 211@;@100@;@@;@8 307,1848@;@83,07@;@0@;@100@;@@;@@;@100@;@67,5
"2008119100"@;@366 141@;@1 740 543@;@@;@@;@@;@@;@@;@@;@366 141@;@100@;@@;@9 960,0693@;@99,6@;@0@;@100@;@@;@@;@100@;@69,9
"7324100009"@;@@;@@;@@;@@;@@;@@;@2@;@49,43@;@0@;@@;@@;@@;@0@;@0@;@100@;@@;@@;@70@;@13,5
"8460121001"@;@33 585@;@@;@@;@@;@@;@@;@@;@@;@33 585@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"3815909000"@;@7 892 869@;@575 225@;@@;@@;@@;@@;@1@;@77@;@7 892 869@;@100@;@@;@2 100,9773@;@21,01@;@0@;@100@;@@;@@;@70@;@56,7
"2204109609"@;@158@;@@;@@;@@;@@;@@;@@;@@;@158@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"3808931900"@;@28 947@;@@;@@;@@;@@;@@;@@;@@;@28 947@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"8479830000"@;@159 918@;@@;@@;@@;@@;@@;@@;@@;@159 918@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"8467211000"@;@7 738 917@;@376 781@;@@;@@;@@;@@;@@;@@;@7 738 917@;@100@;@@;@7 389,4768@;@73,89@;@0@;@100@;@@;@@;@100@;@66,1
"2835390000"@;@1 988 862@;@21 992@;@@;@@;@@;@@;@@;@@;@1 988 862@;@100@;@@;@3 473,9069@;@34,74@;@0@;@100@;@@;@@;@100@;@60,2
"9403202009"@;@@;@@;@@;@@;@@;@@;@324@;@39,63@;@0@;@@;@@;@@;@0@;@0@;@100@;@@;@@;@70@;@13,5
"8807100000"@;@3 418@;@@;@@;@@;@@;@@;@@;@@;@3 418@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"0712330000"@;@24@;@@;@@;@@;@@;@@;@@;@@;@24@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"0207279900"@;@10 829@;@@;@@;@@;@@;@@;@@;@@;@10 829@;@100@;@@;@6 945,6322@;@69,46@;@0@;@100@;@@;@@;@100@;@65,4
"3302101000"@;@46 222@;@@;@@;@@;@@;@@;@@;@@;@46 222@;@100@;@@;@4 179,4708@;@41,79@;@0@;@100@;@@;@@;@100@;@61,3
"4409210000"@;@21 150@;@@;@@;@@;@@;@@;@@;@@;@21 150@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"8528719100"@;@42 838@;@@;@@;@@;@@;@@;@@;@@;@42 838@;@100@;@@;@8 932,0712@;@89,32@;@0@;@100@;@@;@@;@100@;@68,4
"5206130002"@;@2 258@;@1 881 857@;@@;@@;@@;@@;@@;@@;@2 258@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"2102101000"@;@36 572@;@@;@@;@@;@@;@@;@@;@@;@36 572@;@100@;@@;@3 764,9935@;@37,65@;@0@;@100@;@@;@@;@100@;@60,6
"2936230000"@;@99 928@;@@;@@;@@;@@;@@;@@;@@;@99 928@;@100@;@@;@6 818,2643@;@68,18@;@0@;@100@;@@;@@;@100@;@65,2
"8529101100"@;@2 302 386@;@45 367@;@@;@@;@@;@@;@@;@@;@2 302 386@;@100@;@@;@6 126,198@;@61,26@;@0@;@100@;@@;@@;@100@;@64,2
"8207501000"@;@350 303@;@51@;@@;@@;@@;@@;@@;@@;@350 303@;@100@;@@;@3 490,9869@;@34,91@;@0@;@100@;@@;@@;@100@;@60,2
"2921440000"@;@758@;@@;@@;@@;@@;@@;@@;@@;@758@;@100@;@@;@5 541,04@;@55,41@;@0@;@100@;@@;@@;@100@;@63,3
"7209269000"@;@15 712 582@;@209 895@;@@;@@;@@;@@;@1@;@8@;@15 712 582@;@100@;@@;@4 622,7397@;@46,23@;@0@;@100@;@@;@@;@70@;@60,4
"8529901026"@;@11 504 633@;@@;@@;@@;@@;@@;@@;@@;@11 504 633@;@100@;@@;@7 052,1092@;@70,52@;@0@;@100@;@@;@@;@100@;@65,6
"8511400002"@;@14 201 360@;@137 201@;@@;@@;@@;@@;@@;@@;@14 201 360@;@100@;@@;@6 804,5064@;@68,05@;@0@;@100@;@@;@@;@100@;@65,2
"8807200000"@;@1 878 366@;@1 374 560@;@@;@@;@@;@@;@@;@@;@1 878 366@;@100@;@@;@2 724,2395@;@27,24@;@0@;@100@;@@;@@;@100@;@59,1
"8443160000"@;@5 327 927@;@1 743 605@;@@;@@;@@;@@;@@;@@;@5 327 927@;@100@;@@;@3 987,8538@;@39,88@;@0@;@100@;@@;@@;@100@;@61
"9209940000"@;@23 673@;@@;@@;@@;@@;@@;@@;@@;@23 673@;@100@;@@;@2 259,3756@;@22,59@;@0@;@100@;@@;@@;@100@;@58,4
"0802111000"@;@@;@1 655@;@@;@@;@@;@@;@@;@@;@0@;@@;@@;@@;@0@;@0@;@100@;@@;@@;@100@;@15
"1604199100"@;@11 783@;@@;@@;@@;@@;@@;@@;@@;@11 783@;@100@;@@;@5 524,2322@;@55,24@;@0@;@100@;@@;@@;@100@;@63,3
"2941208001"@;@17 592@;@@;@@;@@;@@;@@;@@;@@;@17 592@;@100@;@@;@9 594,5698@;@95,95@;@0@;@100@;@@;@@;@100@;@69,4
"8428600000"@;@2 477 849@;@@;@@;@@;@@;@@;@@;@@;@2 477 849@;@100@;@@;@10 000@;@100@;@0@;@100@;@@;@@;@100@;@70
"7409110000"@;@254 230@;@7 676 524@;@@;@@;@@;@@;@@;@@;@254 230@;@100@;@@;@6 541,0549@;@65,41@;@0@;@100@;@@;@@;@100@;@64,8
"1108200000"@;@42 463@;@@;@@;@@;@@;@@;@@;@@;@42 463@;@100@;@@;@3 220,0318@;@32,2@;@0@;@100@;@@;@@;@100@;@59,8
"5407619000"@;@3 775 221@;@3 762@;@@;@@;@@;@@;@@;@@;@3 775 221@;@100@;@@;@7 368,3498@;@73,68@;@0@;@100@;@@;@@;@100@;@66,1
"9013900000"@;@32 882@;@@;@@;@@;@@;@@;@@;@@;@32 882@;@100@;@@;@4 460,9529@;@44,61@;@0@;@100@;@@;@@;@100@;@61,7
"3006600002"@;@657 668@;@@;@@;@@;@@;@@;@@;@@;@657 668@;@100@;@@;@6 218,9585@;@62,19@;@0@;@100@;@@;@@;@100@;@64,3
"0808108005"@;@1 344 977@;@253 924@;@@;@@;@@;@@;@@;@@;@1 344 977@;@100@;@@;@2 724,3443@;@27,24@;@0@;@100@;@@;@@;@100@;@59,1
