"tnved_code"@;@"imp_usd"@;@"exp_usd"@;@"manufacture_usd"@;@"power_usd"@;@"sold_usd"@;@"left_usd"@;@"certificates_count"@;@"avg_localization_rate"@;@"market"@;@"iz"@;@"rp"@;@"hhi"@;@"ci"@;@"manufacturers_count"@;@"pr"@;@"capacity_utilization"@;@"mp"@;@"st"@;@"iri"
"8480710000"@;@35 261 959@;@353 784@;@108 976@;@248 775@;@108 976@;@2 535@;@@;@@;@35 014 616@;@99,69@;@99,69@;@3 125,604@;@31,26@;@3@;@100@;@43,81@;@56,19@;@50@;@82,614
"8480790000"@;@5 982 378@;@21 339@;@125@;@125@;@125@;@@;@@;@@;@5 961 164@;@100@;@100@;@3 626,3966@;@36,26@;@1@;@100@;@100@;@0@;@50@;@77,9
"8481100500"@;@946 668@;@@;@1 969@;@1 969@;@1 575@;@394@;@@;@@;@948 243@;@99,79@;@99,79@;@4 101,7192@;@41,02@;@1@;@100@;@100@;@0@;@50@;@78,574
"8481101901"@;@@;@@;@5 524@;@5 524@;@5 130@;@394@;@@;@@;@5 130@;@@;@-7,68@;@@;@0@;@2@;@100@;@100@;@0@;@50@;@10,964
"8481101902"@;@40 073@;@@;@9 119@;@9 119@;@8 725@;@3 554@;@@;@@;@45 638@;@81,46@;@80,02@;@9 523,9072@;@95,24@;@3@;@100@;@100@;@0@;@50@;@75,388
"8481101908"@;@3 297 981@;@54 658@;@48 872@;@64 323@;@48 478@;@394@;@@;@@;@3 291 801@;@98,54@;@98,52@;@5 114,3955@;@51,14@;@4@;@70@;@75,98@;@24,02@;@50@;@78,72
"8481101909"@;@@;@@;@1 969@;@1 969@;@1 575@;@394@;@@;@@;@1 575@;@@;@-25,02@;@@;@0@;@1@;@100@;@100@;@0@;@50@;@7,496
"8481109900"@;@@;@@;@1 969@;@1 969@;@1 575@;@394@;@@;@@;@1 575@;@@;@-25,02@;@@;@0@;@1@;@100@;@100@;@0@;@50@;@7,496
"8481109901"@;@6 371@;@@;@1 969@;@1 969@;@1 575@;@394@;@@;@@;@7 946@;@76,39@;@75,22@;@6 104,7404@;@61,05@;@1@;@100@;@100@;@0@;@50@;@67,3
"8481109902"@;@3 769 659@;@467@;@2 759@;@2 759@;@2 365@;@394@;@@;@@;@3 771 557@;@99,93@;@99,93@;@2 559,9581@;@25,6@;@2@;@100@;@100@;@0@;@50@;@76,258
"8481109908"@;@1 771 219@;@41 844@;@1 441 386@;@1 441 386@;@1 241 287@;@75 445@;@@;@@;@3 095 316@;@55,13@;@53,43@;@1 352,1353@;@13,52@;@4@;@70@;@100@;@0@;@50@;@44,238
"8481201001"@;@22 639@;@@;@46 433@;@46 651@;@46 433@;@@;@@;@@;@69 072@;@32,78@;@32,78@;@5 444,6162@;@54,45@;@5@;@70@;@99,53@;@0,47@;@50@;@37,368
"8481201009"@;@5 063 213@;@31 229@;@15 684@;@149 993@;@15 630@;@54@;@@;@@;@5 047 614@;@99,69@;@99,69@;@2 906,9765@;@29,07@;@6@;@70@;@10,46@;@89,54@;@50@;@82,714
"8481209001"@;@6 429@;@@;@751@;@751@;@751@;@@;@@;@@;@7 180@;@89,54@;@89,54@;@3 941,5298@;@39,42@;@2@;@100@;@100@;@0@;@50@;@72,124
"8481209009"@;@2 104 416@;@14 707@;@2 460@;@2 460@;@2 381@;@79@;@@;@@;@2 092 090@;@99,88@;@99,88@;@1 479,9295@;@14,8@;@3@;@100@;@100@;@0@;@50@;@74,628
"8481309108"@;@3 198 341@;@11 424@;@18 420@;@96 227@;@16 083@;@3 886@;@@;@@;@3 201 451@;@99,43@;@99,42@;@3 093,4469@;@30,93@;@3@;@100@;@19,14@;@80,86@;@50@;@84,856
"8481309901"@;@3 976@;@@;@553@;@553@;@553@;@@;@@;@@;@4 529@;@87,79@;@87,79@;@6 102,5522@;@61,03@;@1@;@100@;@100@;@0@;@50@;@74,374
"8481309908"@;@2 173 233@;@4 482@;@432 669@;@545 299@;@408 644@;@103 698@;@6@;@93,98@;@2 497 722@;@83,4@;@82,68@;@1 868,3535@;@18,68@;@6@;@70@;@79,35@;@20,65@;@0@;@61,796
"8481401000"@;@2 716 610@;@768@;@90 274@;@344 699@;@74 459@;@17 985@;@4@;@74,96@;@2 788 131@;@96,78@;@96,76@;@2 800,438@;@28@;@6@;@70@;@26,19@;@73,81@;@0@;@76,664
"8481409000"@;@10 559 968@;@22 202@;@1 438 803@;@1 438 803@;@1 238 704@;@75 445@;@12@;@72,17@;@11 901 124@;@88,01@;@87,91@;@2 774,2489@;@27,74@;@7@;@70@;@100@;@0@;@0@;@63,986
