"id"@;@"region_soato"@;@"region_cad"@;@"region_name_uz"@;@"district_soato"@;@"district_cad"@;@"district_name_uz"@;@"area"@;@"region_name_oz"@;@"region_name_ru"@;@"region_name_qq"@;@"district_name_oz"@;@"district_name_ru"@;@"district_name_qq"@;@"district_title_oz"@;@"district_title_uz"@;@"district_title_ru"@;@"district_title_qq"
55@;@1 708@;@"0"@;@Jizzax viloyati@;@1 708 228@;@"13:10:00"@;@Paxtakor tumani@;@376,464478@;@Жиззах вилояти@;@Джизакская область@;@Jizzaq wálayatı @;@Пахтакор тумани@;@Пахтакорский район@;@Paxtakesh rayonı @;@@;@@;@@;@
56@;@1 708@;@"0"@;@Jizzax viloyati@;@1 708 235@;@"13:11:00"@;@Forish tumani@;@9 309,9209@;@Жиззах вилояти@;@Джизакская область@;@Jizzaq wálayatı @;@Фориш тумани@;@Форишский район@;@Forish rayonı @;@@;@@;@@;@
94@;@1 714@;@"0"@;@Namangan viloyati@;@1 714 207@;@"16:01:00"@;@Kosonsoy tumani@;@490,373657@;@Наманган вилояти@;@Наманганская область@;@Namangan wálayatı @;@Косонсой тумани@;@Косонсойский район@;@Kosonsoy rayonı @;@@;@@;@@;@
95@;@1 714@;@"0"@;@Namangan viloyati@;@1 714 204@;@"16:02:00"@;@Mingbuloq tumani@;@597,049377@;@Наманган вилояти@;@Наманганская область@;@Namangan wálayatı @;@Мингбулоқ тумани@;@Район Мингбулок@;@Mingbuloq rayonı @;@@;@@;@@;@
96@;@1 714@;@"0"@;@Namangan viloyati@;@1 714 212@;@"16:03:00"@;@Namangan tumani@;@205,665604@;@Наманган вилояти@;@Наманганская область@;@Namangan wálayatı @;@Наманган тумани@;@Наманганский район@;@Namangan rayonı @;@@;@@;@@;@
97@;@1 714@;@"0"@;@Namangan viloyati@;@1 714 216@;@"16:04:00"@;@Norin tumani@;@211,168915@;@Наманган вилояти@;@Наманганская область@;@Namangan wálayatı @;@Норин тумани@;@Норинский район@;@Narın rayonı @;@@;@@;@@;@
100@;@1 714@;@"0"@;@Namangan viloyati@;@1 714 229@;@"16:07:00"@;@Uychi tumani@;@310,11084@;@Наманган вилояти@;@Наманганская область@;@Namangan wálayatı @;@Уйчи тумани@;@Уйчинский район@;@Uychi rayonı @;@@;@@;@@;@
98@;@1 714@;@"0"@;@Namangan viloyati@;@1 714 219@;@"16:05:00"@;@Pop tumani@;@3 028,62231@;@Наманган вилояти@;@Наманганская область@;@Namangan wálayatı @;@Поп тумани@;@Попский район@;@Pop rayonı @;@@;@@;@@;@
99@;@1 714@;@"0"@;@Namangan viloyati@;@1 714 224@;@"16:06:00"@;@To'raqo'rg'on tumani@;@302,549255@;@Наманган вилояти@;@Наманганская область@;@Namangan wálayatı @;@Тўрақўрғон тумани@;@Туракурганский район@;@Tóreqo'rg'on rayonı @;@@;@@;@@;@
165@;@1 712@;@"0"@;@Navoiy viloyati@;@1 712 230@;@"21:02:00"@;@Navbahor tumani@;@1 485,62134@;@Навоий вилояти@;@Навоийская область@;@Navaiy wálayatı @;@Навбаҳор тумани@;@Навбахорский район@;@Sortbahor rayonı @;@@;@@;@@;@
101@;@1 714@;@"0"@;@Namangan viloyati@;@1 714 234@;@"16:08:00"@;@Uchqo'rg'on tumani@;@300,414093@;@Наманган вилояти@;@Наманганская область@;@Namangan wálayatı @;@Учқўрғон тумани@;@Учкурганский район@;@Uchqo'rg'on rayonı @;@@;@@;@@;@
166@;@1 712@;@"0"@;@Navoiy viloyati@;@1 712 234@;@"21:03:00"@;@Karmana tumani@;@994,298035@;@Навоий вилояти@;@Навоийская область@;@Navaiy wálayatı @;@Кармана тумани@;@Район кармана@;@Karmana rayonı @;@@;@@;@@;@
135@;@1 710@;@"0"@;@Qashqadaryo viloyati@;@1 710 405@;@"18:16:00"@;@Shahrisabz@;@46,1872635@;@Қашқадарё вилояти@;@Кашкадарьинская область@;@Qashqadárya wálayatı @;@Шаҳрисабз@;@Шахрисабз@;@Qalasısabz@;@@;@@;@@;@
73@;@1 718@;@"0"@;@Samarqand viloyati@;@1 718 406@;@"14:15:00"@;@Kattaqo'rg'on@;@44,0618286@;@Самарқанд вилояти@;@Самаркандская область@;@Samarqand wálayatı @;@Каттақўрғон@;@Каттакурган@;@Úlkenqo'rg'on@;@@;@@;@@;@
74@;@1 718@;@"0"@;@Samarqand viloyati@;@1 718 401@;@"14:16:00"@;@Samarqand@;@112,486816@;@Самарқанд вилояти@;@Самаркандская область@;@Samarqand wálayatı @;@Самарқанд@;@Самарканд@;@Samarqand@;@@;@@;@@;@
167@;@1 712@;@"0"@;@Navoiy viloyati@;@1 712 238@;@"21:04:00"@;@Nurota tumani@;@5 877,71582@;@Навоий вилояти@;@Навоийская область@;@Navaiy wálayatı @;@Нурота тумани@;@Район Нурота@;@Nurota rayonı @;@@;@@;@@;@
168@;@1 712@;@"0"@;@Navoiy viloyati@;@1 712 244@;@"21:05:00"@;@Tomdi tumani@;@35 565,3008@;@Навоий вилояти@;@Навоийская область@;@Navaiy wálayatı @;@Томди тумани@;@Район Томди@;@Tóbedi rayonı @;@@;@@;@@;@
169@;@1 712@;@"0"@;@Navoiy viloyati@;@1 712 251@;@"21:07:00"@;@Xatirchi tumani@;@1 367,29932@;@Навоий вилояти@;@Навоийская область@;@Navaiy wálayatı @;@Хатирчи тумани@;@Хатырчинский район@;@Xatirchi rayonı @;@@;@@;@@;@
170@;@1 712@;@"0"@;@Navoiy viloyati@;@1 712 216@;@"21:08:00"@;@Qiziltepa tumani@;@2 226,12671@;@Навоий вилояти@;@Навоийская область@;@Navaiy wálayatı @;@Қизилтепа тумани@;@Кызылтепинский район@;@Qızıltepa rayonı @;@@;@@;@@;@
171@;@1 712@;@"0"@;@Navoiy viloyati@;@1 712 401@;@"21:09:00"@;@Navoiy@;@60,3796234@;@Навоий вилояти@;@Навоийская область@;@Navaiy wálayatı @;@Навоий@;@Навои@;@Navaiy @;@@;@@;@@;@
205@;@1 710@;@"0"@;@Qashqadaryo viloyati@;@1 710 240@;@"18:08:00"@;@Ko'kdala tumani@;@1 711,63269@;@Қашқадарё вилояти@;@Кашкадарьинская область@;@Qashqadárya wálayatı @;@Кўкдала тумани@;@Кокдальский район@;@Ko'kdala rayonı @;@@;@@;@@;@
191@;@1 735@;@"0"@;@Qoraqalpogiston Respublikasi@;@1 735 212@;@"23:04:00"@;@Kegeyli tumani@;@922,49469@;@Қорақалпогистон Республикаси@;@Республика Каракалпакстан@;@Qaraqalpaqstan Respublikası @;@Кегейли тумани@;@Кегейлинский район@;@Kegeyli rayonı @;@@;@@;@@;@
206@;@1 710@;@"0"@;@Qashqadaryo viloyati@;@1 710 242@;@"18:09:00"@;@Chiroqchi tumani@;@1 138,88916@;@Қашқадарё вилояти@;@Кашкадарьинская область@;@Qashqadárya wálayatı @;@Чироқчи тумани@;@Район Чиракчи@;@Shırashı rayonı @;@@;@@;@@;@
188@;@1 735@;@"0"@;@Qoraqalpogiston Respublikasi@;@1 735 204@;@"23:01:00"@;@Amudaryo tumani@;@1 054,94263@;@Қорақалпогистон Республикаси@;@Республика Каракалпакстан@;@Qaraqalpaqstan Respublikası @;@Амударё тумани@;@Амударьинский район@;@Amudarya rayonı @;@@;@@;@@;@
